Title,rate,Year,certificate,genre,rate,story,director,votes count
God of War: Ragnarök,1.,(2022 Video Game),M,"
Action, Adventure, Drama            ",9.7,"
Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.","
    Director:
Eric Williams
                 | 
    Stars:
Christopher Judge, 
Sunny Suljic, 
Danielle Bisutti, 
Robert Craighead
    ","10,204"
Elden Ring,2.,(2022 Video Game),M,"
Action, Adventure, Fantasy            ",9.4,"
In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.","
    Directors:
Hidetaka Miyazaki, 
Yui Tanimura
                 | 
    Stars:
Martha Mackintosh, 
Anthony Howell, 
Con O'Neill, 
Ramon Tikaram
    ","6,120"
Horizon Forbidden West,3.,(2022 Video Game),T,"
Action, Adventure, Sci-Fi            ",9.1,"
Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.","
    Director:
Mathijs de Jonge
                 | 
    Stars:
Ashly Burch, 
John Macmillan, 
Lesley Ewen, 
Lance Reddick
    ","4,042"
The Quarry,4.,(2022 Video Game),M,"
Fantasy, Horror, Thriller            ",8.1,"
When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror.","
    Director:
Will Byles
                 | 
    Stars:
Siobhan Williams, 
Skyler Gisondo, 
Ted Raimi, 
Grace Zabriskie
    ","3,106"
The Last of Us: Part I,5.,(2022 Video Game),M,"
Action, Adventure, Drama            ",9.8,"
Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.","
    Directors:
Matthew Gallant, 
Bruce Straley
                 | 
    Stars:
Ashley Johnson, 
Troy Baker, 
Hana Hayes, 
Jeffrey Pierce
    ","2,478"
Stray,6.,(2022 Video Game),E10+,"
Adventure, Sci-Fi            ",8.4,"
Lost and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten city with the help from a small flying drone.","
    Directors:
Colas Koola, 
Vivien Mermet-Guyenet
                 | 
    Star:
Louis Garrel
    ","2,378"
Lego Star Wars: The Skywalker Saga,7.,(2022 Video Game),E10+,"
Action, Adventure, Comedy            ",8.9,"
Play through all nine Star Wars films in a LEGO Game of epic proportions.","
    Director:
James McLoughlin
                 | 
    Stars:
A.J. LoCascio, 
Adam Diggle, 
Adam Howden, 
Adrian Edmondson
    ","1,991"
Call of Duty: Modern Warfare II,8.,(2022 Video Game),M,"
Action, Adventure, Crime            ",7.9,"
A sequel to 2019's modern warfare","
    Director:
Jeffrey Keith Negus
                 | 
    Stars:
Alain Mesa, 
Barry Sloane, 
Ramon Fernandez, 
Claudia Doumit
    ","1,520"
Dying Light 2: Stay Human,9.,(2022 Video Game),M,"
Action, Adventure, Horror            ",7.7,"
Fifteen years after the virus in Harran, the infected world is plunged into a modern dark age, where players deal with bandits and factions during the day and the infected at night.","
    Directors:
Marc Albinet, 
Adrian Ciszewski, 
Thomas Mitchells
                 | 
    Stars:
Jonah Scott, 
Rosario Dawson, 
Jonathan Forbes, 
David Belle
    ","1,280"
A Plague Tale: Requiem,10.,(2022 Video Game),M,"
Action, Adventure, Drama            ",8.6,"
After escaping their devastated homeland, Amicia and Hugo travel far south. There, they attempt to start a new life and control Hugo's curse. But, when Hugo's powers reawaken, death and destruction return in a flood of devouring rats.","
    Director:
Kevin Choteau
                 | 
    Stars:
Robyn Wolf, 
Chloe Louis, 
Tom Hudson, 
Giorgia Sinicorni
    ","1,010"
The Callisto Protocol,11.,(2022 Video Game),M,"
Action, Horror, Sci-Fi            ",7.3,"
A crashed cargo pilot struggles to survive against horrific mutating prisoners on Jupiters moon.","
    Director:
Glen A. Schofield
                 | 
    Stars:
Josh Duhamel, 
Karen Fukuhara, 
Zeke Alton, 
James Mathis III
    ",895
High on Life,12.,(2022 Video Game),M,"
Action, Adventure, Comedy            ",7.9,"
Humanity is being threatened by an alien cartel who wants to use them as drugs. It's up to you to rescue and partner with charismatic, talking guns, take down Garmantuous and his gang, and save the world.","
            
    Stars:
Justin Roiland, 
J.B. Smoove, 
Betsy Sodaro, 
Tim Robinson
    ",780
Gotham Knights,13.,(2022 Video Game),T,"
Action, Adventure, Crime            ",6.6,"
Batman is dead. A new expansive, criminal underworld has swept the streets of Gotham City. It is now up to the Batman Family; Batgirl, Nightwing, Red Hood, and Robin; to protect Gotham.","
    Directors:
Lloyd Colaco, 
Alice Bernier, 
Geoff Ellenor, 
Ann Lemay, 
Wilson Mui, 
Patrick Redding
                 | 
    Stars:
America Young, 
Christopher Sean, 
Sloane Morgan Siegel, 
Stephen Oyoung
    ",680
Overwatch 2,14.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",5.7,"
The sequel to 2016s vastly popular First Person Shooter arena video game Overwatch.","
            
    Stars:
Aaron Phillips, 
Anjali Bhimani, 
Aysha Selim, 
Benz Antoine
    ",595
Saints Row,15.,(2022 Video Game),M,"
Action, Comedy, Crime            ",4.7,"
A reboot of the Saints Row series, about a criminal gang taking over a city.","
    Directors:
Douglas Carrigan, 
Larry E Gates II, 
Jaimie Johnson
                 | 
    Stars:
Max Mittelman, 
Erica Lindbeck, 
Catero Colbert, 
Bryce Charles
    ",577
Pokémon Legends: Arceus,16.,(2022 Video Game),E,"
Action, Adventure, Fantasy            ",7.9,"
Get ready for a new kind of grand, Pokémon adventure in Pokémon Legends: Arceus, a new game from Game Freak that blends action and exploration with the RPG roots of the Pokémon series.","
    Director:
Kazumasa Iwao
                 | 
    Stars:
Tamaki Fujii, 
Tatsuya Katono
    ",524
The Dark Pictures: The Devil in Me,17.,(2022 Video Game),,"
Horror            ",7.3,"
A documentary film crew receives a mysterious invite to a replica of the 'Murder Castle' of H.H. Holmes, America's first serial killer. They soon discover that they're being watched, and ...                See full summary »
","
    Directors:
Will Doyle, 
Tom Heaton
                 | 
    Stars:
Jessie Buckley, 
Paul Kaye, 
Fehinti Balogun, 
Gloria Obianyo
    ",490
Uncharted: Legacy of Thieves Collection,18.,(2022 Video Game),T,"
Action, Adventure, Drama            ",9.4,"
Nathan Drake and Chloe Frazer are forced to confront their pasts and forge their own legacies.","
    Directors:
Neil Druckmann, 
Kurt Margenau, 
Bruce Straley
                 | 
    Stars:
Nolan North, 
Troy Baker, 
Richard McGonagle, 
Emily Rose
    ",476
MultiVersus,19.,(2022 Video Game),T,"
Action, Fantasy, Sci-Fi            ",7.1,"
A crossover fighting game featuring many different Warner Bros properties.","
    Director:
Tony Huynh
                 | 
    Stars:
Matthew Lillard, 
Maisie Williams, 
Kate Micucci, 
Tara Strong
    ",458
Tiny Tina's Wonderlands,20.,(2022 Video Game),M,"
Action, Adventure, Comedy            ",8.1,"
Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry. Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.","
            
    Stars:
Andy Samberg, 
Ashly Burch, 
Wanda Sykes, 
Will Arnett
    ",442
As Dusk Falls,21.,(2022 Video Game),M,"
Crime, Thriller            ",8.0,"
As Dusk Falls is an original interactive drama from INTERIOR/NIGHT that explores the entangled lives of two families across thirty years. Starting in 1998 with a robbery-gone-wrong in small...                See full summary »
","
    Director:
Caroline Marchal
                 | 
    Stars:
Mali Bamber, 
Clara Emanuel, 
Josh Taylor, 
Gabriel Persaud
    ",411
Sifu,22.,(2022 Video Game),M,"
Action, Adventure            ",7.7,"
Sifu is the new game of Sloclap, the independent studio behind Absolver. A third person action game featuring intense hand-to-hand combat. It puts you in control of a young Kung-Fu student on a path of revenge.","
    Director:
Jordan Layani
                 | 
    Stars:
Rae Lim, 
Nicholas Goh, 
Dan Li, 
Kirsty Rider
    ",408
FIFA 23,23.,(2022 Video Game),E,"
Sport            ",5.6,"
FIFA 23 is a football simulation video game. It is the 30th installment in the FIFA series that is developed by EA Sports, and the final installment under the FIFA banner.","
            
    Stars:
Pierre-Emerick Aubameyang, 
Brett Goldstein, 
Lauren Hemp, 
Chloe Kelly
    ",389
Teenage Mutant Ninja Turtles: Shredder's Revenge,24.,(2022 Video Game),E10+,"
Action, Adventure, Fantasy            ",8.2,"
Teenage Mutant Ninja Turtles: Shredder's Revenge reunites Leonardo, Michelangelo, Donatello and Raphael as they kick shell in a beautifully realized beat 'em up.","
    Director:
Jonathan Lavigne
                 | 
    Stars:
Cam Clarke, 
Rob Paulsen, 
Townsend Coleman, 
Barry Gordon
    ",355
